gorunur_zaman,sembol,yon,yayilim_saat,toplam_notional,oi_degisim,fiyat,isinma
2026-09-05T21:40:09+00:00,1000XECUSDT,long,3.02,2735.4,0.0039,0.00724,evet
2026-09-05T21:40:14+00:00,ACEUSDT,short,3.82,27365.7,0.0164,0.1747,evet
2026-09-05T21:40:32+00:00,APRUSDT,short,0.00,23796.9,0.0025,0.23627,evet
2026-09-05T21:40:35+00:00,BEATUSDT,short,2.27,34290.5,0.0116,0.1235,evet
2026-09-05T21:40:45+00:00,EDGEUSDT,short,2.66,66357.9,0.0033,0.619,evet
2026-09-05T21:40:47+00:00,ESPORTSUSDT,short,0.00,8118.8,0.0129,0.01507,evet
2026-09-05T21:41:29+00:00,UAIUSDT,short,3.37,211995.5,0.0522,0.50304,evet
2026-09-05T21:41:59+00:00,ZECUSDT,short,1.88,769283.8,0.0158,1011.87,evet
2026-09-05T23:23:53+00:00,AKEUSDT,short,1.73,63397.9,0.0069,0.019531,evet
2026-09-05T23:23:54+00:00,ALLOUSDT,short,2.81,6795.8,0.0017,0.2452,evet
2026-09-06T01:12:50+00:00,LABUSDT,short,0.79,12404.6,0.0002,0.074,evet
2026-09-06T06:01:20+00:00,ALLOUSDT,short,3.52,22132.8,0.0011,0.2458,evet
2026-09-06T06:02:05+00:00,ELSAUSDT,short,1.82,24342.8,0.0267,0.05525,evet
2026-09-06T10:50:46+00:00,BTWUSDT,short,0.43,27466.4,0.0002,0.457539,evet
2026-09-06T10:52:32+00:00,UBUSDT,short,2.37,39456.4,0.0017,0.13496,evet
